//-------------UI Loca
Loading_LoadingHint				场景加载中，请稍等...
Loading_LanguageSelect				语言选择
Loading_Submit					确认
Loading_HintComplete				加载完成，按确认键继续
Loading_HintRandom1				如果您是 MyScore 的新手，请查看教程
Loading_HintRandom2				在设置菜单中，您可以重新激活控制器信息
Loading_HintRandom3				会议场景适合开会、讲座、交流
Loading_HintRandom4				在特殊的 360° 场景中，您可以使用 UI 按钮进行交互
Loading_HintRandom5				您可以在 MyScore 开始时或在欢迎场景中更改您的语言
Loading_HintRandom6				如果您感到恶心，请更改设置（小插图、加速）以获得更舒适的体验
Loading_HintRandom7				对于 VR 新用户，传送是首选的移动方式
UI_MenuError1					当前正在共享屏幕，\n 一次只能有一个人共享屏幕
UI_MenuHelp1					如果你需要我，我会驻扎在你的左翼。
UI_MenuHelp2					在此场景中，您的麦克风半径已设置为最大
UI_MenuHelp3					站在这里，每个人都会听到你的声音
UI_MenuTitle					菜单
UI_MenuLogout					登出
UI_MenuRecenter					重新居中窗口
UI_MenuMinimize					最小化所有窗口
UI_MenuShowKeyboard				显示键盘
UI_MenuHide					隐藏面板
UI_MenuShow					显示面板
UI_MenuAdmin					行政
UI_MenuNotepad					记事本
UI_MenuDrawpad					拉板
UI_MenuWebsite					网站
UI_MenuSetting					环境
UI_MenuPenSize					笔尺寸
UI_MenuSave					节省
UI_MenuClearAll					清除所有
UI_MenuEnterURL					输入您的网址...
UI_MenuSaveLink					保存当前链接
UI_PhysicalSetting				物理设置
UI_UserHeight					用户身高
UI_MenuMovementHeader				移动速度
UI_MenuControllerInfo				控制器信息
UI_MicrophoneHeader				麦克风
UI_MicrophoneMuted				你被禁言
UI_MicrophoneUnmuted				你在说话
UI_MicrophoneRadius				说话\n半径
UI_MicrophoneDefault				无（默认）
UI_MicrophoneSelected				选定的\n麦克风
UI_MicrophoneList				麦克风列表
UI_ShareScreen					共享屏幕
UI_ShareScreenInfo				- 没什么可分享的 -\n将要共享的窗口拖放到此处。
UI_ShareScreenNameInfo				您正在查看以下屏幕： 
UI_AdminAttendance				出勤率
UI_AdminAttendanceInfo				显示此房间的参与者
UI_AdminEnvironment				环境
UI_AdminEnvironmentInfo				设置房间的气氛
UI_AdminScenario				设想
UI_AdminScenarioInfo				换个场景
UI_AdminGadgets					小工具
UI_AdminGadgetsInfo				仅适用于管理员的额外功能
UI_AdminAttendanceTitle				出席名单：
UI_AdminAttendancePlaceholder			搜索房间里的人. . .
UI_AdminAttendanceLocation			显示位置
UI_AdminAttendanceMakeAdmin			授予 \n管理员权限
UI_AdminAttendanceShareScreenOff		关闭\n共享屏幕
UI_AdminAttendanceKick				踢出
UI_AdminEnvironment360Video			360°视频：
UI_AdminEnvironmentNone				没有任何
UI_AdminEnvironmentCloudy			多云的
UI_AdminEnvironmentAurora			极光
UI_AdminEnvironment360Image			360°图像：
UI_AdminEnvironmentCityBeach			城市海滩
UI_AdminEnvironmentCityView			城市景观
UI_AdminEnvironmentForest			森林
UI_AdminEnvironmentBeach			海滩
UI_AdminEnvironmentPark				公园
UI_AdminEnvironmentRWTH				FHNW \n 校园
UI_AdminEnvironmentTUDarmstadt			达姆施塔特校区
UI_AdminEnvironmentLogo				标识：
UI_AdminScenarioSelection			情景选择
UI_AdminScenarioMatrix				矩阵
UI_AdminScenarioConference			会议
UI_AdminScenarioKatschhof			KATSCHHOF
UI_AdminScenarioRolePlay			角色扮演 \n大厅
UI_AdminScenarioRektorat			雷克托拉特
UI_AdminScenarioConference360			会议\n360
UI_AdminScenarioWZL				王者堂
UI_AdminScenarioRestaurant			餐厅
UI_AdminScenarioCARES				关心\n区域
UI_AdminGadgetClose				关闭
UI_AdminGadgetDrone				无人机
UI_AdminGadgetDroneCamera			相机
UI_AdminGadgetDroneCameraController		相机控制器
UI_AdminGadgetDroneController			无人机控制器
UI_AdminGadgetDroneDirection			方向控制
UI_AdminGadgetDroneHeight			高度控制
UI_AdminGadgetDroneRotationXZ			旋转控制 - XZ
UI_AdminGadgetDroneRotationY			旋转 - Y
UI_AdminGadgetDroneRecordStart			开始记录
UI_AdminGadgetDroneRecordStop			停止记录
UI_AdminGadgetDroneReturn			归还相机
UI_AdminGadgetDroneFollowStart			跟着我！
UI_AdminGadgetDroneFollowStop			停止关注
UI_AdminGadgetIncognito				隐姓埋名
UI_AdminGadgetIncognitoHeader			隐身角色
UI_AdminGadgetIncognitoNice			好角色
UI_AdminGadgetIncognitoNormal			普通字符
UI_AdminGadgetIncognitoMean			平均字符
UI_AdminGadgetIncognitoExtra			额外字符
UI_AdminGadgetIncognitoInvisible		无形的
UI_AdminGadgetIncognitoGhost			鬼
UI_AdminGadgetIncognitoRandom			随机的
