//-------------UI Loca	//
Loading_LoadingHint				Scene is loading, please wait...
Loading_LanguageSelect				Language Selection
Loading_Submit					Confirm
Loading_HintComplete				Loading complete, press the confirm button to continue
Loading_HintRandom1				Check out the tutorial, if you are new to MyScore
Loading_HintRandom2				In the settings menu, you can reactivate the controller info
Loading_HintRandom3				Conference scenes are good for meetings, lectures and mingle
Loading_HintRandom4				In special 360° scenes you can use the UI buttons to interact
Loading_HintRandom5				You can change your language during the start of MyScore or in the Welcome scene
Loading_HintRandom6				If you feel motion sickness, try the settings (vignette, acceleration) for more comfortable adjustments
Loading_HintRandom7				For new user to VR, the teleport is the preferred way of movement
UI_MenuError1					is currently sharing the screen,\nonly one person can share the screen at a time
UI_MenuHelp1					If you need me, I will be stationed at your Left Wirst.
UI_MenuHelp2					Your Microphone radius has been set to maximum in this Scenario
UI_MenuHelp3					By Standing here, your voice will be heard by everyone
UI_MenuTitle					Menu
UI_MenuLogout					Logout
UI_MenuRecenter					Re-Center Windows
UI_MenuMinimize					Minimize all windows
UI_MenuShowKeyboard				Show Keyboard
UI_MenuHide					Hide Panel
UI_MenuShow					Show Panel
UI_MenuAdmin					Admin
UI_MenuNotepad					Notepad
UI_MenuDrawpad					Drawpad
UI_MenuWebsite					Website
UI_MenuSetting					Setting
UI_MenuPenSize					Pen size
UI_MenuSave					Save
UI_MenuClearAll					Clear All
UI_MenuEnterURL					Enter your URL ...
UI_MenuSaveLink					Save current Link
UI_PhysicalSetting				Physical Setting
UI_UserHeight					User Height
UI_MenuMovementHeader				Movement Speed
UI_MenuControllerInfo				Controller information
UI_MicrophoneHeader				Microphones
UI_MicrophoneMuted				You are muted
UI_MicrophoneUnmuted				You are speaking
UI_MicrophoneRadius				Speaking\nRadius
UI_MicrophoneDefault				None (Default)
UI_MicrophoneSelected				Selected\nmicrophone
UI_MicrophoneList				Microphone list
UI_ShareScreen					Share Screen
UI_ShareScreenInfo				- Nothing to Share -\nDrag and drop the Window that you want to share here.
UI_ShareScreenNameInfo				You are viewing the screen of: 
UI_AdminAttendance				Attendance
UI_AdminAttendanceInfo				Show the participant in this room
UI_AdminEnvironment				Environment
UI_AdminEnvironmentInfo				Set up the room's mood
UI_AdminScenario				Scenario
UI_AdminScenarioInfo				Change to another scenario
UI_AdminGadgets					Gadgets
UI_AdminGadgetsInfo				the extra function for the Admin only
UI_AdminAttendanceTitle				Attendance List:
UI_AdminAttendancePlaceholder			search people in the room. . .
UI_AdminAttendanceLocation			Show Location
UI_AdminAttendanceMakeAdmin			Give\nAdmin
UI_AdminAttendanceShareScreenOff		Turn off\nshare screen
UI_AdminAttendanceKick				Kick out
UI_AdminEnvironment360Video			360° Videos:
UI_AdminEnvironmentNone				None
UI_AdminEnvironmentCloudy			Cloudy
UI_AdminEnvironmentAurora			Aurora
UI_AdminEnvironment360Image			360° Images:
UI_AdminEnvironmentCityBeach			City Beach
UI_AdminEnvironmentCityView			City View
UI_AdminEnvironmentForest			Forest
UI_AdminEnvironmentBeach			Beach
UI_AdminEnvironmentPark				Park
UI_AdminEnvironmentRWTH				FHNW Campus
UI_AdminEnvironmentTUDarmstadt			Darmstadt Campus
UI_AdminEnvironmentLogo				Logo:
UI_AdminScenarioSelection			SCENE SELECTION
UI_AdminScenarioMatrix				MATRIX
UI_AdminScenarioConference			CONFERENCE
UI_AdminScenarioKatschhof			KATSCHHOF
UI_AdminScenarioRolePlay			ROLE PLAY\nHALL
UI_AdminScenarioRektorat			RECTORAT
UI_AdminScenarioConference360			CONFERENCE\n360
UI_AdminScenarioWZL				WZL HALL
UI_AdminScenarioRestaurant			RESTAURANT
UI_AdminScenarioCARES				CARES\nArea
UI_AdminGadgetClose				Close
UI_AdminGadgetDrone				DRONE
UI_AdminGadgetDroneCamera			Camera
UI_AdminGadgetDroneCameraController		Camera Controller
UI_AdminGadgetDroneController			Drone Controller
UI_AdminGadgetDroneDirection			Direction Control
UI_AdminGadgetDroneHeight			Height Control
UI_AdminGadgetDroneRotationXZ			Rotation Control - XZ
UI_AdminGadgetDroneRotationY			Rotation - Y
UI_AdminGadgetDroneRecordStart			Start Record
UI_AdminGadgetDroneRecordStop			Stop Record
UI_AdminGadgetDroneReturn			Return the Camera
UI_AdminGadgetDroneFollowStart			Follow me!
UI_AdminGadgetDroneFollowStop			Stop Following
UI_AdminGadgetIncognito				INCOGNITO
UI_AdminGadgetIncognitoHeader			INCOGNITO CHARACTER
UI_AdminGadgetIncognitoNice			Nice Characters
UI_AdminGadgetIncognitoNormal			Normal Characters
UI_AdminGadgetIncognitoMean			Mean Characters
UI_AdminGadgetIncognitoExtra			Extra Character
UI_AdminGadgetIncognitoInvisible		Invisible
UI_AdminGadgetIncognitoGhost			Ghost
UI_AdminGadgetIncognitoRandom			Random
UI_AdminGadgetIncognitoRemove			Remove Incognito
UI_AdminGadgetIncognitoInfo			You are in Incognito currently.\nYour avatar is changed and your name tag is invisible.
UI_AdminGadgetNPCManipulator			NPC MANIPULATOR
UI_AdminGadgetNPCManipulatorHeader		- NPC MANIPULATOR -
UI_AdminGadgetNPCManipulatorAudience		Audience Intensity
UI_AdminGadgetNPCManipulatorAngry		Angry
UI_AdminGadgetNPCManipulatorCheering		Cheering
UI_AdminGadgetNPCManipulatorDistraction		Distractions
UI_AdminGadgetNPCManipulatorDistractionCommand	Command executed
UI_AdminGadgetNPCManipulatorThrowGood		NPC throw good stuff
UI_AdminGadgetNPCManipulatorThrowBad		NPC throw bad stuff
UI_AdminGadgetNPCManipulatorCreakingDoor	Creaking door sound
UI_AdminGadgetNPCManipulatorBoingOnce		Boing once
UI_AdminGadgetNPCManipulatorCheerOnce		Cheering once
UI_AdminGadgetNPCManipulatorTelephone		Telephone ringing
UI_AdminGadgetNPCManipulatorRandomHand		Random Raising Hand
UI_AdminGadgetNPCManipulatorTotalNPC		Total NPC Follower
UI_AdminGadgetNPCManipulatorFollow		Follow:
UI_AdminGadgetNPCManipulatorRefresh		Refresh
UI_AdminGadgetNPCManipulatorFollowStop		Stop Follow
UI_KeyboardScale				Keyboard\nScale
UI_KeyboardHide					Hide\nKeyboard
UI_KeyboardSnap					Snap
UI_KeyboardShow					Show Keyboard
BigPanelEnterLocalIP				Enter your Local server IP
BigPanelTargetIP				Set \n Target IP
BigPanelResetIP					Reset to Default IP
BigPanelCustomIPInfo				You are using \n a custom IP Address
UI_MenuSavedLinks				Saved links:
UI_360VideoLoading				Loading ...
UI_VideoLoading					Please Wait . . . Currently Preparing
UI_VideoLoadingError				Sorry, the media does not exist.
UI_CurrentMedia					Current Media:
UI_CurrentMediaVideo				Video
UI_CurrentMediaPicture				Picture
UI_CurrentMediaWebsite				Website
UI_CurrentUser					Current User:
UI_VideoButtonPlay				Play
UI_VideoButtonPause				Pause
UI_VideoButtonUnmute				Unmute
UI_VideoButtonMute				Mute
UI_VideoButtonExit				Exit
UI_EnterMail					Enter your email to get the media link
UI_EnterMailSend				Send
UI_EnterMailSendHint				Email succesfully sent
UI_EnterMailSendError				Link not send. Please verify your email.
UI_EnterMailSubject				MyScore Link VR
UI_EnterMailOpening				Thank you for using MyScore.\nThis is the link that you selected.\n
UI_EnterMailClosing				\nWe hope it is going to be helpful to you.\n\n\nBest regards,\n\n\nMyScore Developer Team.\n\nFor more information, please visit the International Office website of the RWTH Aachen University
//-------------Welcome Scene Loca	//
Button_TutorialStart				Start Tutorial
TutorialLanguageHeader				Tutorial Language
Tutorial_PCInfo					PC Controls:\n\n> ""WASD"" Keys <\n(Move Avatar)\n\n> Mouse Movement <\n(Look around)\n\n> ""Shift"" Key <\n(Hold to run, release to walk)\n\n> ""Tab"" Key <\nSit / Stand\n\n> Mouse Button ""Left"" <\n(Interact with UI and Menu)\n\n> Mouse Button ""Right"" <\n(Entrance Hall: Close App)\n(Scenarios: Open Menu)\n\n\n> Keyboard Keys <\nType texts inside input fields
BigPanel_EnterName				Please enter your name...
BigPanel_GameRoomButton				GO ONLINE !
BigPanel_HintText				Thank you for trying our MyScore Software. This software still in Alpha Version. Please expect some bugs
BigPanel_HintTextUpdate				Your are using the old MyScore app.\nIt is recommended that you update them at:\n\nhttps://vredu.lfi.rwth-aachen.de/en/
BigPanel_PanelListTitle				ONLINE ROOMS
