//-------------UI Loca
Loading_LoadingHint				Сцена загружается, подождите ...
Loading_LanguageSelect				Выбор языка
Loading_Submit					Подтверждать
Loading_HintComplete				Загрузка завершена, нажмите кнопку подтверждения, чтобы продолжить.
Loading_HintRandom1				Ознакомьтесь с руководством, если вы новичок в MyScore
Loading_HintRandom2				В меню настроек вы можете повторно активировать информацию о контроллере.
Loading_HintRandom3				Сцены конференции подходят для встреч, лекций и обмена мнениями.
Loading_HintRandom4				В специальных сценах на 360 ° вы можете использовать кнопки пользовательского интерфейса для взаимодействия
Loading_HintRandom5				Вы можете изменить свой язык во время запуска MyScore или в сцене приветствия
Loading_HintRandom6				Если вы чувствуете тошноту, измените настройки (виньетка, ускорение) для более комфортного использования.
Loading_HintRandom7				Для нового пользователя VR телепорт - предпочтительный способ передвижения.
UI_MenuError1					в настоящее время показывает экран, \n только один человек может открывать доступ к экрану одновременно
UI_MenuHelp1					Если я тебе понадоблюсь, я буду размещен у твоего левого запада.
UI_MenuHelp2					Радиус вашего микрофона в этом сценарии установлен на максимум
UI_MenuHelp3					Стоя здесь, твой голос будет услышан всеми
UI_MenuTitle					Меню
UI_MenuLogout					Выйти
UI_MenuRecenter					Перецентрировать окна
UI_MenuMinimize					Свернуть все окна
UI_MenuShowKeyboard				Показать клавиатуру
UI_MenuHide					Скрыть панель
UI_MenuShow					Показать панель
UI_MenuAdmin					Админ
UI_MenuNotepad					Блокнот
UI_MenuDrawpad					Блокнот для рисования
UI_MenuWebsite					Веб-сайт
UI_MenuSetting					Параметр
UI_MenuPenSize					Размер ручки
UI_MenuSave					Сохранить
UI_MenuClearAll					Очистить все
UI_MenuEnterURL					Введите ваш URL ...
UI_MenuSaveLink					Сохранить текущую ссылку
UI_PhysicalSetting				Физическая установка
UI_UserHeight					Высота пользователя
UI_MenuMovementHeader				Скорость передвижения
UI_MenuControllerInfo				Информация о контроллере
UI_MicrophoneHeader				Микрофоны
UI_MicrophoneMuted				Вы отключены
UI_MicrophoneUnmuted				Вы говорите
UI_MicrophoneRadius				Говорящий \n Радиус
UI_MicrophoneDefault				Нет (по умолчанию)
UI_MicrophoneSelected				Выбран \n микрофон
UI_MicrophoneList				Список микрофонов
UI_ShareScreen					Поделиться экраном
UI_ShareScreenInfo				- Нечего делиться - \n Перетащите окно, которым хотите поделиться, сюда.
UI_ShareScreenNameInfo				Вы просматриваете экран:
UI_AdminAttendance				Посещаемость
UI_AdminAttendanceInfo				Показать участника в этой комнате
UI_AdminEnvironment				Среда
UI_AdminEnvironmentInfo				Настройте настроение в комнате
UI_AdminScenario				Сценарий
UI_AdminScenarioInfo				Перейти к другому сценарию
UI_AdminGadgets					Гаджеты
UI_AdminGadgetsInfo				дополнительная функция только для администратора
UI_AdminAttendanceTitle				Список участников:
UI_AdminAttendancePlaceholder			искать людей в комнате. . .
UI_AdminAttendanceLocation			Показать местоположение
UI_AdminAttendanceMakeAdmin			Предоставить \n права администратора
UI_AdminAttendanceShareScreenOff		Отключить \n показать экран
UI_AdminAttendanceKick				Выгнать
UI_AdminEnvironment360Video			Видео 360 °:
UI_AdminEnvironmentNone				Никто
UI_AdminEnvironmentCloudy			Облачно
UI_AdminEnvironmentAurora			Аврора
UI_AdminEnvironment360Image			Изображения 360 °:
UI_AdminEnvironmentCityBeach			Городской пляж
UI_AdminEnvironmentCityView			Вид на город
UI_AdminEnvironmentForest			лес
UI_AdminEnvironmentBeach			пляж
UI_AdminEnvironmentPark				Парк
UI_AdminEnvironmentRWTH				Кампус FHNW
UI_AdminEnvironmentTUDarmstadt			Дармштадтский кампус
UI_AdminEnvironmentLogo				Логотип
UI_AdminScenarioSelection			ВЫБОР СЦЕНЫ
UI_AdminScenarioMatrix				МАТРИЦА
UI_AdminScenarioConference			КОНФЕРЕНЦИЯ
UI_AdminScenarioKatschhof			KATSCHHOF
UI_AdminScenarioRolePlay			РОЛЕВАЯ ИГРА \n ЗАЛ
UI_AdminScenarioRektorat			РЕКТОРАТ
UI_AdminScenarioConference360			КОНФЕРЕНЦИЯ \n 360
UI_AdminScenarioWZL				ЗАЛ WZL
UI_AdminScenarioRestaurant			РЕСТОРАН
UI_AdminScenarioCARES				CARES\nУчасток
UI_AdminGadgetClose				Закрывать
UI_AdminGadgetDrone				ДРОН
UI_AdminGadgetDroneCamera			Камера
UI_AdminGadgetDroneCameraController		Контроллер камеры
UI_AdminGadgetDroneController			Дрон-контроллер
UI_AdminGadgetDroneDirection			Управление направлением
UI_AdminGadgetDroneHeight			Контроль высоты
UI_AdminGadgetDroneRotationXZ			Контроль вращения - XZ
UI_AdminGadgetDroneRotationY			Вращение - Y
UI_AdminGadgetDroneRecordStart			Начать запись
UI_AdminGadgetDroneRecordStop			Остановить запись
UI_AdminGadgetDroneReturn			Верните камеру
UI_AdminGadgetDroneFollowStart			Подписывайтесь на меня!
UI_AdminGadgetDroneFollowStop			Прекратить подписку
UI_AdminGadgetIncognito				ИНКОГНИТО
UI_AdminGadgetIncognitoHeader			ИНКОГНИТО ПЕРСОНАЖ
UI_AdminGadgetIncognitoNice			Хорошие люди
UI_AdminGadgetIncognitoNormal			Нормальные люди
UI_AdminGadgetIncognitoMean			Средние люди
